employee_id,username,login_time,logout_time,location,device,failed_logins,file_access,Risk_Score,Risk_Level,Alert_Severity
EMP001,John,23,02,Mumbai,Unknown,8,150,95,High,Critical
EMP002,Alex,10,18,Pune,Laptop,0,15,15,Low,Low
EMP003,David,01,03,Delhi,Mobile,7,120,90,High,Critical
EMP004,Maria,11,19,Chennai,Laptop,1,20,25,Low,Low
EMP005,Robert,22,01,Bangalore,Unknown,6,140,88,High,Critical
EMP006,Sneha,09,18,Mumbai,Laptop,2,35,45,Medium,Medium
EMP007,Arun,08,17,Pune,Laptop,3,42,55,Medium,Medium
EMP008,Priya,13,21,Delhi,Mobile,2,38,48,Medium,Medium
EMP009,Rahul,00,03,Chennai,Unknown,9,170,98,High,Critical
EMP010,Meena,10,19,Bangalore,Laptop,3,45,60,Medium,High
EMP011,Vijay,02,05,Mumbai,Mobile,7,130,85,High,High
EMP012,Kiran,01,04,Pune,Unknown,8,145,92,High,Critical
EMP013,Aakash,09,18,Lucknow,Laptop,2,40,52,Medium,Medium
EMP014,Nisha,10,19,Hyderabad,Laptop,3,50,65,Medium,High
EMP015,Rohan,11,20,Kolkata,Mobile,2,35,46,Medium,Medium
EMP016,Anjali,08,17,Jaipur,Laptop,1,18,22,Low,Low
EMP017,Deepak,09,18,Surat,Laptop,2,45,58,Medium,Medium
EMP018,Pooja,10,19,Nagpur,Mobile,1,20,18,Low,Low
EMP019,Suresh,09,18,Indore,Laptop,3,55,70,Medium,High
EMP020,Kavya,08,17,Kochi,Laptop,0,18,16,Low,Low
EMP021,Varun,09,18,Mumbai,Laptop,2,48,62,Medium,High
EMP022,Divya,10,19,Pune,Mobile,1,30,42,Medium,Medium
EMP023,Manoj,11,20,Delhi,Laptop,3,52,68,Medium,High
EMP024,Aarthi,08,17,Chennai,Laptop,0,15,20,Low,Low
EMP025,Karthik,09,18,Bangalore,Mobile,2,40,50,Medium,Medium
EMP026,Harini,10,19,Hyderabad,Laptop,1,18,24,Low,Low
EMP027,Ganesh,11,20,Kolkata,Laptop,4,58,75,Medium,High
EMP028,Lavanya,09,18,Jaipur,Mobile,0,12,15,Low,Low
EMP029,Naveen,08,17,Surat,Laptop,2,22,28,Low,Low
EMP030,Swathi,10,19,Nagpur,Mobile,1,16,18,Low,Low
EMP031,Prakash,09,18,Indore,Laptop,0,14,12,Low,Low
EMP032,Shalini,10,19,Kochi,Laptop,1,20,25,Low,Low
EMP033,Ajay,11,20,Mumbai,Mobile,2,25,32,Low,Low
EMP034,Keerthi,08,17,Pune,Laptop,0,10,14,Low,Low
EMP035,Vignesh,09,18,Delhi,Laptop,1,18,22,Low,Low
EMP036,Reshma,10,19,Chennai,Mobile,0,12,16,Low,Low
EMP037,Dinesh,11,20,Bangalore,Laptop,2,28,35,Low,Low
EMP038,Anu,08,17,Hyderabad,Laptop,1,15,18,Low,Low
EMP039,Sanjay,09,18,Kolkata,Mobile,0,10,12,Low,Low
EMP040,Preethi,10,19,Jaipur,Laptop,1,18,24,Low,Low
EMP041,Abhishek,01,04,Mumbai,Unknown,8,135,91,High,Critical
EMP042,Ritika,02,05,Pune,Mobile,7,125,87,High,Critical
EMP043,Yash,00,03,Delhi,Unknown,9,165,99,High,Critical
EMP044,Neha,09,18,Chennai,Laptop,2,35,47,Medium,Medium
EMP045,Tarun,03,06,Bangalore,Unknown,7,140,89,High,Critical
EMP046,Bhavana,10,19,Hyderabad,Mobile,3,45,58,Medium,Medium
EMP047,Arvind,02,05,Kolkata,Unknown,8,150,94,High,Critical
EMP048,Ishita,09,18,Jaipur,Laptop,2,38,44,Medium,Medium
EMP049,Mohan,01,04,Surat,Unknown,7,145,86,High,High
EMP050,Sakshi,10,19,Nagpur,Laptop,1,20,22,Low,Low
EMP051,Arjun,09,18,Mumbai,Laptop,2,44,55,Medium,Medium
EMP052,Meghna,10,19,Pune,Mobile,1,38,49,Medium,Medium
EMP053,Imran,08,17,Delhi,Laptop,3,52,60,Medium,Medium
EMP054,Shruti,11,20,Chennai,Mobile,2,41,53,Medium,Medium
EMP055,Faizan,09,18,Bangalore,Laptop,1,36,47,Medium,Medium
EMP056,Pallavi,10,19,Hyderabad,Laptop,2,45,58,Medium,Medium
EMP057,Rakesh,08,17,Kolkata,Mobile,3,50,62,Medium,Medium
EMP058,Komal,09,18,Jaipur,Laptop,1,40,50,Medium,Medium
EMP059,Siddharth,10,19,Surat,Laptop,2,46,57,Medium,Medium
EMP060,Ankita,08,17,Nagpur,Mobile,1,39,48,Medium,Medium
